City_Id,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
85,Mount Gambier,90,AU,1577914090,93,-37.83,140.78,286.15,0.5
86,Priladozhskiy,90,RU,1577914091,93,59.85,31.48,276.15,5.0
87,Tucumcari,1,US,1577914091,15,35.17,-103.73,289.82,10.3
88,Hermanus,0,ZA,1577914091,89,-34.42,19.24,294.26,8.24
89,Hobart,40,AU,1577913931,39,-42.88,147.33,291.15,5.1
90,Moron,10,HT,1577914092,79,18.56,-74.26,299.9,2.97
91,Vangaindrano,100,MG,1577914092,93,-23.35,47.6,296.69,1.14
92,Victor Harbor,0,AU,1577914092,63,-35.55,138.62,291.15,2.41
93,Port Elizabeth,20,US,1577914093,48,39.31,-74.98,281.15,3.6
94,Garden City,1,US,1577914074,87,43.62,-116.24,282.15,3.1
95,Redmond,75,US,1577913949,71,47.67,-122.12,285.37,3.1
96,New Amsterdam,39,GY,1577914093,74,6.25,-57.52,298.95,1.87
97,Atuona,32,PF,1577914093,76,-9.8,-139.03,299.85,7.84
98,El Alto,75,BO,1577914094,81,-16.5,-68.19,284.15,3.1
99,Buzmeyin,0,TM,1577914094,86,38.05,58.21,276.15,1.0
100,Palm Harbor,75,US,1577914098,21,28.08,-82.76,296.15,2.1
101,Bubaque,0,GW,1577914098,62,11.28,-15.83,299.88,5.25
102,Saldanha,18,PT,1577914098,67,41.42,-6.55,277.24,0.6
103,Vanderhoof,99,CA,1577914098,100,54.02,-124.02,274.27,0.87
104,Ipira,34,BR,1577914099,93,-27.41,-51.77,297.71,1.62
105,Carnarvon,0,ZA,1577914099,21,-30.97,22.13,294.58,3.52
106,College,90,US,1577914099,84,64.86,-147.8,255.15,3.1
107,Yellowknife,90,CA,1577914099,92,62.45,-114.38,259.15,2.6
108,Pinehurst,1,US,1577914100,37,35.19,-79.47,287.59,2.1
109,Methoni,95,GR,1577914100,62,36.82,21.7,284.15,3.6
110,Santo Anastacio,98,BR,1577914100,54,-21.84,-51.61,301.15,1.0
111,Beyneu,38,KZ,1577914101,87,45.32,55.19,275.58,3.9
112,Hambantota,1,LK,1577914101,85,6.12,81.12,299.4,6.42
113,Cidreira,16,BR,1577914101,88,-30.17,-50.22,298.35,7.83
114,Urengoy,100,RU,1577914102,96,65.96,78.37,256.29,4.08
115,Ukiah,20,US,1577914102,63,39.15,-123.21,290.37,7.2
116,Torbay,90,CA,1577914102,95,47.66,-52.73,274.26,12.3
117,Hami,100,CN,1577914102,55,42.84,93.51,265.61,2.04
118,Chincholi,0,IN,1577914102,84,17.47,77.42,292.49,3.32
119,Hjelset,75,NO,1577914103,87,62.78,7.5,281.15,5.1
120,Butaritari,100,KI,1577914103,78,3.07,172.79,302.25,3.96
121,Talnakh,40,RU,1577914103,77,69.49,88.39,255.15,11.0
122,Lucapa,100,AO,1577914104,95,-8.42,20.74,293.07,1.51
123,Tuktoyaktuk,90,CA,1577914104,70,69.44,-133.03,253.15,5.7
124,Senneterre,90,CA,1577914104,85,48.39,-77.24,267.15,3.6
125,Seoul,90,KR,1577913870,78,37.57,126.98,274.15,0.53
126,Rocha,0,UY,1577914105,69,-34.48,-54.34,294.65,5.96
127,Hithadhoo,40,MV,1577914105,79,-0.6,73.08,301.17,5.07
128,Saint-Francois,90,FR,1577914105,100,46.42,3.91,277.15,0.5
129,Huron,90,US,1577914106,74,44.36,-98.21,275.15,2.6
130,Erzin,75,TR,1577914106,100,36.95,36.2,283.15,1.5
131,Nanortalik,0,GL,1577914106,57,60.14,-45.24,269.68,9.12
132,Alofi,0,NU,1577914106,76,-19.06,-169.92,298.62,8.12
133,Hasaki,20,JP,1577914107,92,35.73,140.83,270.93,0.5
134,Lebu,42,ET,1577914107,78,8.96,38.73,285.98,1.06
135,Saint Anthony,90,US,1577914107,86,43.97,-111.68,273.15,5.82
136,Puerto Ayacucho,20,CO,1577914108,52,5.66,-67.63,306.15,6.2
137,Farafangana,68,MG,1577914108,70,-22.82,47.83,300.37,3.4
138,Gallup,1,US,1577913995,51,35.53,-108.74,277.15,6.7
139,Gamba,38,CN,1577914108,59,28.28,88.52,259.4,0.93
140,Kodinsk,93,RU,1577914108,97,58.6,99.18,260.06,2.02
141,Mackay,75,CA,1577914109,86,53.65,-115.58,273.15,2.1
142,Wanning,0,AT,1577914109,100,48.64,13.53,274.82,1.0
143,Inta,100,RU,1577914109,91,66.04,60.13,260.94,7.77
144,Kaduna,0,NG,1577914109,18,10.52,7.44,292.77,6.39
145,Jalu,59,LY,1577914110,73,29.03,21.55,281.62,4.71
146,Lugovoy,69,RU,1577914110,95,59.72,65.88,257.02,2.02
147,Cervo,70,BR,1577914110,88,-22.19,-46.24,295.64,1.05
148,Chokurdakh,100,RU,1577914111,98,70.62,147.9,248.01,1.79
149,Thompson,90,CA,1577913895,84,55.74,-97.86,259.15,3.6
150,Owando,100,CG,1577914114,65,-0.49,15.91,298.69,0.95
151,Sorland,90,NO,1577914114,87,67.67,12.69,279.15,15.9
152,Halifax,90,CA,1577913976,78,44.65,-63.58,275.93,6.2
153,Marawi,100,PH,1577914115,89,8.0,124.29,295.37,4.02
154,Flinders,90,AU,1577914115,93,-34.58,150.85,294.26,3.56
155,Flin Flon,90,CA,1577914115,85,54.77,-101.88,263.15,2.6
156,Arnold,1,US,1577914116,32,38.43,-90.38,287.59,5.7
157,Pacific Grove,75,US,1577914116,87,36.62,-121.92,289.26,3.6
158,Alugan,86,PH,1577914116,76,12.22,125.48,300.3,8.84
159,Vestmannaeyjar,100,IS,1577914116,65,63.44,-20.27,276.21,15.4
160,Martapura,75,ID,1577914116,100,-3.41,114.85,298.15,1.0
161,Quepos,75,CR,1577914117,53,9.43,-84.16,299.15,6.7
162,Mastic Beach,90,US,1577914117,44,40.77,-72.85,277.15,6.2
163,Sharlyk,100,RU,1577914117,97,52.93,54.74,270.33,2.24
164,Belmonte,11,PT,1577914083,14,40.36,-7.35,280.37,0.89
165,Det Udom,20,TH,1577914118,88,14.9,105.08,294.15,2.1
166,Lorengau,100,PG,1577914119,77,-2.02,147.27,301.68,2.89
167,Puerto Ayora,75,EC,1577914119,65,-0.74,-90.35,301.15,3.6
168,Batticaloa,27,LK,1577914120,94,7.71,81.69,296.52,0.43
